Noch unbekannt                   =UNBEKANNT
AOK GRAEFENBERG                  =AOK-GRAE
AOK GRAFENAU                     =AOK-GRAF
AOK GRAFSCH. BENTHEIM-48501 NORDH=AOK-NORD
AOK GRIESBACH                    =AOK-GRI
AOK GROSS-GERAU                  =AOK-GRO
AOK GRUENSTADT                   =AOK-GRU
AOK GUENZBURG                    =AOK-GUEN
AOK GUETERSLOH                   =AOK-GUE
AOK GUNZENHAUSEN                 =AOK-GUN
AOK HAGEN                        =AOK-HAG
AOK HAMBURG                      =AOK-HH
AOK HAMELN-PYRMONT               =AOK-HAM
AOK HAMM                         =AOK-HAMM
AOK HANAU                        =AOK-HAN
AOK HANN. MUENDEN                =AOK-HAMUE
AOK HANNOVER                     =AOK-HANO
AOK HASSFURT                     =AOK-HAS
AOK HAUZENBERG                   =AOK-HAU
AOK HECHINGEN                    =AOK-HEC
AOK HEIDELBERG                   =AOK-HEID
AOK HEIDENHEIM                   =AOK-HEI
AOK HEILBRONN                    =AOK-HEIL
AOK HEINSBERG                    =AOK-HEIN
AOK HELGOLAND                    =AOK-HEL
AOK HELMSTEDT                    =AOK-HELM
AOK HERFORD                      =AOK-HERF
AOK HERNE                        =AOK-HERN
AOK HERRENBERG                   =AOK-HERR
AOK HERSBRUCK                    =AOK-HERS
AOK HERZOGENAURACH               =AOK-HERZ
AOK HILDESHEIM                   =AOK-HILDE
AOK HILPOLTSTEIN                 =AOK-HIL
AOK HOECHSTADT/AISCH             =AOK-HOE
AOK HOEXTER                      =AOK-HOEX
AOK HOF                          =AOK-HOF
AOK HOLLFELD                     =AOK-HOL
AOK HOLZMINDEN                   =AOK-HOLZ
AOK HORB                         =AOK-HOR
AOK HZGT. LAUENBURG-23901 RATZEBU=AOK-RAT
AOK ILLERTISSEN                  =AOK-ILL
AOK IMMENSTADT                   =AOK-IMM
AOK INGOLSTADT                   =AOI
AOK ITZEHOE                      =AOK-ITZ
AOK KAISERSLAUTERN               =AOK-KAI
AOK KARLSRUHE-76133 KARLSRUHE    =AOK-KAR
AOK KARLSRUHE-76227 KARLSRUHE    =AOK-KAR1
AOK KARLSTADT                    =AOK-KAST
AOK KASSEL                       =AOK-KAS
AOK KEHL                         =AOK-KEH
AOK KELHEIM                      =AOK-KEL
AOK KEMNATH                      =AOK-KEMN
AOK KENZINGEN                    =AOK-KEN
AOK KIEL                         =AOK-KIE
AOK KIRCHHEIM                    =AOK-KIR
AOK KIRCHZARTEN                  =AOK-KIRC
AOK KITZINGEN                    =AOK-KIT
AOK KLEVE                        =AOK-KLE
AOK KOBLENZ                      =AOK-KOB
AOK KOELN                        =AOK-KOEL
AOK KOETZTING                    =AOK-KOE
AOK KONSTANZ                     =AOK-KON
AOK KORNWESTHEIM                 =AOK-KOR
AOK KREFELD                      =AOK-KREF
AOK KREIS BIRKENFELD             =AOK-IDA
AOK KRONACH                      =AOK-KRO
AOK KRUMBACH                     =AOK-KRU
AOK KUENZELSAU                   =AOK-KUE
AOK KULMBACH                     =AOK-KUL
AOK KUSEL                        =AOK-KUS
AOK LAHN-DILL-35521 WETZLAR      =AOK-WET
AOK LAHR-WOLFACH                 =AOK-LAH
AOK LAICHINGEN                   =AOK-LAI
AOK LANDAU-76825 LANDAU/PF.      =AOK-LADA
AOK LANDAU/ISAR-94405 LANDAU     =AOK-LANDA
AOK LANDSBERG                    =AOK-LAN
AOK LANDSHUT                     =AOK-LAND
AOK LANGENAU                     =AOK-LANG
AOK LAUF                         =AOK-LAUF
AOK LAUFEN                       =AOK-LAU
AOK LAUINGEN                     =AOK-LAUI
AOK LAUPHEIM                     =AOK-LAUP
AOK LEER                         =AOK-LEE
AOK LEINFELDEN-ECHTERDINGEN      =AOK-LEI
AOK LEONBERG                     =AOK-LEO
AOK LEVERKUSEN                   =AOK-LEV
AOK LICHTENFELS                  =AOK-LIC
AOK LIMBURG-WEILBURG             =AOK-LIM
AOK LINDAU                       =AOK-LIN
AOK LINDENBERG                   =AOK-LIND
AOK LINGEN                       =AOK-LING
AOK LIPPE-32631 LEMGO            =AOK-LEM
AOK LIPPSTADT-SOEST              =AOK-LIP
AOK LOERRACH                     =AOK-LOE
AOK LOHR                         =AOK-LOH
AOK LUDWIGSBURG-BIETIGHEIM       =AOK-LUD
AOK LUDWIGSHAFEN                 =AOK-LUDW
AOK LUEBECK                      =AOK-LUE
AOK LUECHOW                      =AOK-LUEC
AOK LUENEBURG                    =AOK-LUEN
AOK MAERKISCHER KREIS-58505 LöDEN=AOK-LUED
AOK MAIN-TAUBER-KREIS-97931 TAUBE=AOK-TAU
AOK MAINZ-BINGEN                 =AOK-MAI
AOK MALLERSDORF-PFAFFENBERG-84065=AOK-MAL
AOK MANNHEIM                     =AOK-MAN
AOK MARBACH                      =AOK-MAR
AOK MARBURG-BIEDENKOPF           =AOK-MABU
AOK MARKT-SCHWABEN               =AOK-MASCH
AOK MARKTHEIDENFELD              =AOK-MAHE
AOK MARKTOBERDORF                =AOK-MARKT
AOK MARKTREDWITZ                 =AOK-MARE
AOK MAYEN-KOBLENZ                =AOK-MAY
AOK MELLE                        =AOK-MELL
AOK MELLRICHSTADT                =AOK-MEL
AOK MEMMINGEN                    =AOK-MEM
AOK MENGEN                       =AOK-MEN
AOK MEPPEN                       =AOK-MEP
AOK MESSKIRCH                    =AOK-MES
AOK METZINGEN                    =AOK-MET
AOK MIESBACH                     =AOK-MIES
AOK MINDELHEIM                   =AOK-MIN
AOK MINDEN-LUEBBECKE             =AOK-MIND
AOK MITTELFRANKEN-90443 NöRNBERG =AOK-MITT
AOK MOENCHENGLADACH              =AOK-MOE
AOK MOESSINGEN                   =AOK-MOES
AOK MOOSBURG                     =AOK-MOO
AOK MUEHLACKER                   =AOK-MUEH
AOK MUELHEIM                     =AOK-MUERU
AOK MUELLHEIM                    =AOK-MUEL
AOK MUENCHEN AUSL. ABT.-80337 MUE=AOK-AUSL
AOK MUENCHEN-80337 MUENCHEN      =AOK
AOK MUENSINGEN                   =AOK-MUE
AOK MUENSTER                     =AOK-MUEN
AOK MUNDERKINGEN                 =AOK-MUN
AOK MURNAU                       =AOK-MUR
AOK MURRHARDT                    =AOK-MURR
AOK N.-LANGWASSER-90473 NöRNBERG/=AOK-N/LAN
AOK NABBURG                      =AOK-NAB
AOK NAGOLD                       =AOK-NAG
AOK NECKAR-ODENWALD-KREIS-74819 M=AOK-MOS
AOK NECKARSULM                   =AOK-NEC
AOK NERESHEIM                    =AOK-NER
AOK NEU-ULM                      =AOK-NEUU
AOK NEUBURG                      =AOK-NEU
AOK NEUENBUERG                   =AOK-NEBUE
AOK NEUENDETTELSAU               =AOK-NEUEN
AOK NEUFAHRN                     =AOK-NEUF
AOK NEUHAUS                      =AOK-NHAU
AOK NEUHAUSEN A. D. FILDERN      =AOK-NEUHA
AOK NEUHAUSEN-80634 MUENCHEN     =AOK-NEUH
AOK NEUMARKT                     =AOK-NEUMA
AOK NEUMUENSTER                  =AOK-NMUE
AOK NEUNBURG                     =AOK-NEUN
AOK NEUPERLACH-81737 MUENCHEN    =AOK-NEUP
AOK NEUSS                        =AOK-NEUSS
AOK NEUSTADT-31523 NEUSTADT      =AOK-NESTA
AOK NEUSTADT-67433 NEUSTADT      =AOK-NEUST
AOK NEUSTADT-91401 NEUSTADT      =AOK-NEU/A
AOK NEUSTADT-96456 NEUSTADT      =AOK-NEUS
AOK NEUWIED                      =AOK-NEWI
AOK NIEBUELL                     =AOK-NIE
AOK NIENBURG                     =AOK-NIEN
AOK NITTENAU                     =AOK-NITT
AOK NOERDLINGEN                  =AOK-NOE
AOK NORDHARZ-38601 GOSLAR        =AOK-GOS
AOK NUERTINGEN                   =AOK-NUE
AOK OBERALLGAEU-87402 KEMPTEN    =AOK-OBE
AOK OBERBERG-51643 GUMMERSBACH   =AOK-GUM
AOK OBERDERDINGEN                =AOK-OBERD
AOK OBERHAUSEN                   =AOK-OHA
AOK OBERKIRCH                    =AOK-OBK
AOK OBERNDORF                    =AOK-OBDF
AOK OBERSTDORF                   =AOK-OBER
AOK OBERVIECHTACH                =AOK-OBERV
AOK OCHSENFURT                   =AOK-OFU
AOK OCHSENHAUSEN                 =AOK-OCH
AOK OEHRINGEN                    =AOK-OEH
AOK OFFENBACH                    =AOK-OFB
AOK OFFENBURG                    =AOK-OFF
AOK OLDENBURG                    =AOK-OLD
AOK OLPE                         =AOK-OLP
AOK OLYMPIAZENTRUM-80809 MUENCHEN=AOK-OLY
AOK OSNABRUECK                   =AOK-OSNA
AOK OSTALLGAEU-87571 KAUFBEUREN  =AOK-OST
AOK OSTERHOLZ                    =AOK-OHO
AOK OSTERODE                     =AOK-ORO
AOK OSTFILDERN (NELLINGEN)       =AOK-OSTF
AOK OSTHOLSTEIN-23751 OLDENBURG  =AOK-OLBU
AOK OTTOBEUREN                   =AOK-OTT
AOK PADERBORN                    =AOK-PAD
AOK PARSBERG                     =AOK-PARS
AOK PASING-81241 MUENCHEN        =AOK-PAS
AOK PASSAU                       =AOK-PASS
AOK PEGNITZ                      =AOK-PEG
AOK PEINE                        =AOK-PEI
AOK PENZBERG                     =AOK-PEN
AOK PFAFFENHOFEN                 =AOK-PFAF
AOK PFULLENDORF                  =AOK-PFU
AOK PFULLINGEN                   =AOK-PFUI
AOK PHILIPPSBURG                 =AOK-PHI
AOK PINNEBERG                    =AOK-PIN
AOK PLIEZHAUSEN                  =AOK-PLI
AOK PLOCHINGEN                   =AOK-PLO
AOK PLOEN                        =AOK-PLOE
AOK PLUEDERHAUSEN                =AOK-PLU
AOK PRIEN                        =AOK-PRI
AOK RADOLFZELL                   =AOK-RAD
AOK RASTATT                      =AOK-RAS
AOK RAVENSBURG                   =AOK-RAV
AOK RECKLINGHAUSEN               =AOK-REC
AOK REGENSBURG                   =AOK-REG
AOK REMSCHEID                    =AOK-REM
AOK RENDSBURG                    =AOK-REN
AOK REUTLINGEN                   =AOK-REU
AOK RHEIN-HUNSRUECK-KREIS-5546 1S=AOK-SIMM
AOK RHEIN-SIEG-KREIS-53721 SIEGBU=AOK-SIE
AOK RHEINSTETTEN                 =AOK-RHE
AOK RIEDLINGEN                   =AOK-RIE
AOK RINTELN                      =AOK-RIN
AOK RODACH                       =AOK-RODA
AOK RODING                       =AOK-ROD
AOK ROETHENBACH                  =AOK-ROET
AOK ROSENHEIM                    =AOK-ROS
AOK ROTENBURG                    =AOK-ROBU
AOK ROTH                         =AOK-ROTH
AOK ROTHENBURG                   =AOK-ROTHE
AOK ROTTAL-INN-84341 PFARRKIRCHEN=AOK-ROTT
AOK ROTTENBURG-72108 ROTTENBURG  =AOK-ROTTE
AOK ROTTENBURG-84053 ROTTENBURG  =AOK-ROT
AOK ROTTWEIL                     =AOK-ROWE
AOK SAARLAND-66121 SAARBRUECKEN  =AOK-SAA
AOK SALZGITTER                   =AOK-SAL
AOK SAULGAU                      =AOK-SAU
AOK SCHEINFELD                   =AOK-SCHEI
AOK SCHILTACH                    =AOK-SCHI
AOK SCHLESWIG-FLENSBURG          =AOK-SWIG
AOK SCHONGAU                     =AOK-SCHON
AOK SCHORNDORF                   =AOK-SHOR
AOK SCHRAMBERG                   =AOK-SRAMB
AOK SCHROBENHAUSEN               =AOK-SCHRO
AOK SCHWABACH                    =AOK-SWBAC
AOK SCHWABING-80809 MUENCHEN     =AOK-SCHW
AOK SCHWABMUENCHEN               =AOK-SCHMU
AOK SCHWAEBISCH GMUEND           =AOK-SWGM
AOK SCHWAEBISCH HALL             =AOK-SHALL
AOK SCHWALM-EDER-34567 HOMBERG   =AOK-HOMB
AOK SCHWANDORF                   =AOK-SCHWA
AOK SCHWARZWALD-BAAR-KREIS-78001 =AOK-VILL
AOK SCHWEINFURT-97421 SCHWEINFURT=AOK-SHWE
AOK SCHWEINFURT-97424 SCHWEINFURT=AOK-SCHWE
AOK SEGEBERG-23792 BAD SEGEBERG  =AOK-SEG
AOK SELB                         =AOK-SEL
AOK SIEGERLAND-WITTGENSTEIN-57074=AOK-SIEG
AOK SIGMARINGEN                  =AOK-SIG
AOK SIMBACH AM INN               =AOK-SIMB
AOK SINGEN                       =AOK-SIN
AOK SOLINGEN                     =AOK-SOL
AOK SOLTAU                       =AOK-SOLT
AOK SONTHOFEN                    =AOK-SON
AOK SPAICHINGEN                  =AOK-SPA
AOK ST. BLASIEN                  =AOK-SBLA
AOK ST. GEORGEN                  =AOK-GEO
AOK STADTSTEINACH                =AOK-STAD
AOK STAFFELSTEIN                 =AOK-STAF
AOK STARNBERG                    =AOK-STA
AOK STAUFEN                      =AOK-STAU
AOK STOCKACH                     =AOK-STO
AOK STRAUBING                    =AOK-STRA
AOK STUTENSEE                    =AOK-STU
AOK STUTTGART 10-70049 STUTTGART =AOK-STU10
AOK STUTTGART 30-70469 STUTTGART =AOK-STU30
AOK STUTTGART 31-70499 STUTTGART =AOK-STU31
AOK STUTTGART 40-70435 STUTTGART =AOK-STU40
AOK STUTTGART 50-70372 STUTTGART =AOK-STU50
AOK STUTTGART 50-70378 STUTTGART =AOK-ST.50
AOK STUTTGART 60-70374 STUTTGART =AOK-STU60
AOK STUTTGART 70-70597 STUTTGART =AOK-STU70
AOK STUTTGART 75-70619 STUTTGART =AOK-STU75
AOK STUTTGART 80-70563 STUTTGART =AOK-ST.80
AOK STUTTGART 80-70567 STUTTGART =AOK-STU80
AOK SUESSEN                      =AOK-SUE
AOK SULZ                         =AOK-SULZ
AOK SULZBACH                     =AOK-SUBA
AOK SULZBACH-ROSENBERG           =AOK-SUL
AOK TAILFINGEN-72434 ALBSTADT    =AOK-TAI
AOK TEGERNSEE                    =AOK-TEG
AOK TETTNANG                     =AOK-TET
AOK TIRSCHENREUTH                =AOK-TIR
AOK TITISEE-NEUSTADT             =AOK-TIT
AOK TOEGING                      =AOK-TOE
AOK TRAUNREUT                    =AOK-TRAU
AOK TRAUNSTEIN                   =AOK-TRA
AOK TRIBERG                      =AOK-TRI
AOK TRIER-SAARBURG               =AOK-TRIER
AOK TROCHTELFINGEN               =AOK-TROC
AOK TROSSINGEN                   =AOK-TROS
AOK TROSTBERG                    =AOK-TRO
AOK TRUDERING81825 MUENCHEN      =AOK-TRU
AOK TUEBINGEN                    =AOK-TUEB
AOK TUERKHEIM                    =AOK-TUE
AOK TUTTLINGEN                   =AOK-TUT
AOK UEBERLINGEN                  =AOK-UEB
AOK UELZEN                       =AOK-UEL
AOK UFFENHEIM                    =AOK-UFF
AOK ULM                          =AOK-ULM
AOK URACH-MUENSINGEN-72563 BAD UR=AOK-URA
AOK VAIHINGEN                    =AOK-VAI
AOK VIECHTACH                    =AOK-VIEC
AOK VIERSEN-47878 KEMPEN         =AOK-KEM
AOK VILLINGEN-SCHWENNINGEN       =AOK-VISW
AOK VILSBIBURG                   =AOK-VILS
AOK VILSHOFEN                    =AOK-VIL
AOK VOLKACH                      =AOK-VOL
AOK WAIBLINGEN                   =AOK-WAI
AOK WALDECK-FRANKENBERG-34482 KOR=AOK-KORB
AOK WALDKIRCH                    =AOK-WALDK
AOK WALDKRAIBURG                 =AOK-WAL
AOK WALDMUENCHEN                 =AOK-WALD
AOK WALDSHUT-TIENGEN-79741       =AOK-WAHU
AOK WALDSHUT-TIENGEN-79753       =AOK-WAHU2
AOK WANGEN                       =AOK-WAN
AOK WASSERBURG                   =AOK-WASS
AOK WASSERTRUEDINGEN             =AOK-WASSE
AOK WEHR                         =AOK-WEH
AOK WEIDEN                       =AOK-WEID
AOK WEILHEIM                     =AOK-WEIL
AOK WEINGARTEN                   =AOK-WGN
AOK WEINSBERG                    =AOK-WEINS
AOK WEINSTADT-BEUTELSBACH        =AOK-WESTA
AOK WEISSENBURG                  =AOK-WE
AOK WEISSENHORN                  =AOK-WEIS
AOK WELZHEIM                     =AOK-WELZ
AOK WERTINGEN                    =AOK-WER
AOK WESEL-47478 RHEINBERG        =AOK-RHEI
AOK WESTERWALD-56409 MONTABAUR   =AOK-MON
AOK WESTPFALZ-66921 PIRMASENS    =AOK-PIR
AOK WILDBAD                      =AOK-WIL
AOK WINNENDEN                    =AOK-WINN
AOK WINTERLINGEN                 =AOK-WIN
AOK WOLFRATSHAUSEN               =AOK-WOL
AOK WUERZBURG                    =AOK-WUE
AOK WUNSIEDEL                    =AOK-WUN
AOK ZIRNDORF                     =AOK-ZIR
AOK ZWIESEL                      =AOK-ZWI
AOK-POCK  AOK POCKING            =AOK-POCK
ARAG VERS.-81675 MUENCHEN        =ARAG-KV
BARMENIA VERS.-10719 BERLIN      =BKV-BER
BARMENIA VERS.-20095 HAMBURG     =BKV-HAM
BARMENIA VERS.-24012 KIEL        =BKV-KIE
BARMENIA VERS.-28195 BREMEN      =BKV-BRE
BARMENIA VERS.-30159 HANNOVER    =BKV-HAN
BARMENIA VERS.-40237 DöSSELDORF  =BKV-DUE
BARMENIA VERS.-42119 WUPPERTAL   =BKV-WUP
BARMENIA VERS.-42119 WUPPERTAL   =BKV-SAA
BARMENIA VERS.-45128 ESSEN       =BKV-ESS
BARMENIA VERS.-47051 DUISBURG    =BKV-DUI
BARMENIA VERS.-48143 MöNSTER     =BKV-MUE
BARMENIA VERS.-50670 KôLN        =BKV-KOE
BARMENIA VERS.-52062 AACHEN      =BKV-AAC
BARMENIA VERS.-55005 MAINZ       =BKV-MAI
BARMENIA VERS.-56013 KOBLENZ     =BKV-KOB
BARMENIA VERS.-60313 FRANKFURT   =BKV-FRA
BARMENIA VERS.-68004 MANNHEIM    =BKV-MAN
BARMENIA VERS.-70003 STUTTGART   =BKV-REU
BARMENIA VERS.-70174 STUTTGART   =BKV-STU
BARMENIA VERS.-80333 MUENCHEN    =BKV
BARMENIA VERS.-86150 AUGSBURG    =BKV-AUG
BARMENIA VERS.-90102 NöRNBERG    =BKV-NUE
BAVARIA ARAG VERS.-81675 MUENCHEN=BAVARIA
BAYER. BAU-BG BAYERN UND SACHS-80=BAU-BG
BAYER..GEMEINDEUNFALLVERS. VER-80=GEM-BG
BAYER..VERS.KAMMER-80538 MUENCHEN=BVK
BAYER.GEMEINDE-UNFALL-VERS. V-808=GEM.U.BG
BAYER.LANDESENTSCHAEDIGUNGSAMT-80=BAY-LAND
BEAMTENUNFALLVERS. 10963 BERLIN  =UNF-BER
BEIHILFEFESTSETZUNGSST. LAN-80331=BEI
BEK ALTOETTING                   =BEK-ALT
BEK BAD AIBLING                  =BEK-AIB
BEK BAD REICHENHALL              =BEK-REI
BEK BAD TOELZ                    =BEK-BAD
BEK BERCHTESGADEN                =BEK-BER
BEK BURGHAUSEN                   =BEK-BUR
BEK DACHAU                       =BEK-DAC
BEK DEGGENDORF                   =BEK-DEG
BEK DINGOLFING                   =BEK-DIN
BEK EBERSBERG                    =BEK-EBE
BEK EICHSTAETT                   =BEK-EIC
BEK ERDING                       =BEK-ERD
BEK FREILASSING                  =BEK-FREI
BEK FREISING                     =BEK-FRE
BEK FUERSTENFELDBRUCK            =BEK-FFB
BEK GARMISCH-PARTENKIRCHEN       =BEK-GAR
BEK GAUTING                      =BEK-GAU
BEK GERMERING                    =BEK-GERM
BEK GRAEFELFING                  =BEK-GRAE
BEK GRASSAU                      =BEK-GRA
BEK GROEBENZELL                  =BEK-GROE
BEK HAAR                         =BEK-HAA
BEK HERZOG-WILHELM-STR..26 -80331=BEK-HERZ
BEK HERZOG-WILHELM-STR..26-80331 =BEK-AMI
BEK INGOLSTADT                   =BEK-ING
